date             aapl          sp
20021003       0.009174     -0.010822
20021004      -0.018881     -0.022431
20021007      -0.018532     -0.019111
20021008      -0.005955      0.016898
20021009      -0.006502     -0.027287
20021010       0.038238      0.034966
20021011       0.027693      0.039059
20021014       0.017919      0.007327
20021015       0.026405      0.047336
20021016      -0.039578     -0.024113
20021017      -0.030907      0.022302
20021018       0.016301      0.005903
20021021       0.015342      0.017334
20021022       0.009615     -0.010626
20021023       0.012245      0.006718
20021024      -0.012769     -0.015221
20021025       0.049694      0.017167
20021028       0.012322     -0.008266
20021029      -0.010890     -0.009076
20021030       0.034974      0.009704
20021031       0.005632     -0.005557
20021101       0.018046      0.017160
20021104       0.032396      0.008191
20021105       0.000592      0.007761
20021106       0.018935      0.009144
20021107      -0.070848     -0.022852
20021108      -0.010000     -0.008763
20021111      -0.042929     -0.020732
20021112       0.031662      0.007715
20021113      -0.003197     -0.000476
20021114       0.045542      0.024634
20021115      -0.021472      0.006149
20021118      -0.018809     -0.010409
20021119      -0.024281     -0.004021
20021120       0.017027      0.019415
20021121       0.052801      0.021452
20021122      -0.020795     -0.003438
20021125      -0.002498      0.002504
20021126      -0.035066     -0.020978
20021127       0.020117      0.027986
20021129      -0.013995     -0.002727
20021202      -0.020645     -0.001901
20021203      -0.001318     -0.014745
20021204      -0.012533     -0.003454
20021205      -0.022712     -0.012010
20021206       0.021873      0.006266
20021209      -0.013378     -0.022176
20021210       0.035932      0.013957
20021211       0.013743      0.000564
20021212      -0.019367     -0.003724
20021213      -0.026333     -0.013432
20021216       0.004057      0.023519
20021217       0.015488     -0.008139
20021218      -0.033820     -0.013145
20021219      -0.025395     -0.007709
20021220      -0.004225      0.013005
20021223       0.024752      0.001820
20021224      -0.008972     -0.005471
20021226       0.002786     -0.003149
20021227      -0.023611     -0.016029
20021230       0.000711      0.004558
20021231       0.018479      0.000489
20030102       0.032798      0.033200
20030103       0.006757     -0.000484
20030106       0.000000      0.022474
20030107      -0.003356     -0.006545
20030108      -0.020202     -0.014086
20030109       0.008935      0.019397
20030110       0.002725     -0.000011
20030113      -0.006114     -0.001412
20030114      -0.001367      0.005830
20030115      -0.012320     -0.014426
20030116       0.013167     -0.003942
20030117      -0.035568     -0.014017
20030121      -0.005674     -0.015702
20030122      -0.009986     -0.010432
20030123       0.020893      0.010224
20030124      -0.026111     -0.029233
20030127       0.023913     -0.016160
20030128       0.031847      0.013050
20030129       0.024006      0.006779
20030130      -0.040857     -0.022849
20030131       0.002793      0.013130
20030203       0.020891      0.005399
20030204      -0.004093     -0.014088
20030205      -0.010274     -0.005435
20030206      -0.001384     -0.006449
20030207      -0.019404     -0.010094
20030210       0.014134      0.007569
20030211       0.000000     -0.008098
20030212       0.002787     -0.012687
20030213       0.010424     -0.001600
20030214       0.008941      0.021435
20030218       0.040900      0.019500
20030219      -0.027505     -0.007096
20030220      -0.005387     -0.009501
20030221       0.015572      0.013224
20030224      -0.017333     -0.018381
20030225       0.018996      0.007195
20030226      -0.034621     -0.013141
20030227       0.024828      0.011758
20030228       0.010094      0.004622
20030303      -0.023984     -0.007537
20030304      -0.006143     -0.015357
20030305       0.004121      0.009562
20030306      -0.004104     -0.009339
20030307      -0.002060      0.008259
20030310      -0.011012     -0.025830
20030311      -0.009743     -0.008359
20030312      -0.000703      0.004321
20030313       0.035162      0.034457
20030314       0.004076      0.001647
20030317       0.015562      0.035427
20030318      -0.000666      0.004242
20030319      -0.003333      0.008737
20030320      -0.002676      0.001888
20030321       0.006036      0.022977
20030324      -0.042000     -0.035231
20030325       0.012526      0.012161
20030326      -0.009622     -0.005476
20030327       0.005552     -0.001644
20030328       0.005521     -0.005780
20030331      -0.029513     -0.017742
20030401       0.001414      0.012144
20030402       0.031073      0.026116
20030403      -0.009589     -0.005052
20030404      -0.003458      0.002738
20030407       0.005552      0.001229
20030408      -0.002761     -0.001864
20030409      -0.017993     -0.014004
20030410       0.012685      0.006455
20030411      -0.081420     -0.003763
20030414       0.028788      0.019498
20030415      -0.013991      0.006303
20030416      -0.011202     -0.012236
20030417      -0.009063      0.015536
20030421       0.001524     -0.001757
20030422       0.028158      0.021704
20030423       0.005181      0.008394
20030424      -0.010309     -0.008259
20030425      -0.006696     -0.013846
20030428       0.038202      0.017835
20030429       0.014430      0.003279
20030430       0.011380     -0.001002
20030501       0.009845     -0.000676
20030502       0.006267      0.015039
20030505       0.113495     -0.003795
20030506       0.087632      0.008461
20030507       0.008571     -0.005105
20030508       0.019830     -0.010058
20030509       0.016667      0.014278
20030512       0.014208      0.012535
20030513       0.005927     -0.002973
20030514      -0.006427     -0.003205
20030515       0.009704      0.007868
20030516       0.003737     -0.002504
20030519      -0.037234     -0.024918
20030520      -0.017127     -0.001129
20030521       0.003373      0.004012
20030522       0.021849      0.009151
20030523       0.004386      0.001449
20030527       0.030568      0.019567
20030528      -0.031780      0.001829
20030529      -0.009847     -0.003756
20030530      -0.008287      0.014690
20030602      -0.027855      0.003539
20030603      -0.008023      0.004716
20030604       0.016753      0.015110
20030605       0.002273      0.003954
20030606      -0.027778     -0.002404
20030609      -0.020991     -0.011977
20030610       0.023228      0.009130
20030611       0.015716      0.012835
20030612       0.018338      0.001033
20030613      -0.019696     -0.009915
20030616       0.048795      0.022385
20030617      -0.004379      0.000910
20030618       0.051127     -0.001552
20030619       0.001046     -0.015236
20030620       0.003135      0.000995
20030623      -0.007292     -0.014111
20030624      -0.014690      0.001834
20030625       0.016507     -0.008267
20030626       0.010477      0.010776
20030627      -0.029031     -0.009738
20030630       0.017619     -0.001762
20030701       0.001574      0.008025
20030702       0.009429      0.011646
20030703      -0.007265     -0.008111
20030707       0.038683      0.018992
20030708       0.026673      0.003405
20030709      -0.025000     -0.005586
20030710      -0.015586     -0.013480
20030711       0.013790      0.009548
20030714       0.002519      0.005731
20030715      -0.014573     -0.003427
20030716       0.013259     -0.006417
20030717       0.051837     -0.012344
20030718      -0.001962      0.011806
20030721      -0.011937     -0.014618
20030722       0.009219      0.009512
20030723      -0.000481      0.000506
20030724      -0.013468     -0.007091
20030725       0.050219      0.017400
20030728      -0.025534     -0.002163
20030729      -0.012863     -0.007265
20030730      -0.021235     -0.001809
20030731       0.039448      0.002856
20030801      -0.016603     -0.010259
20030804       0.023155      0.002724
20030805      -0.039132     -0.017663
20030806      -0.036801      0.001678
20030807       0.015283      0.007280
20030808      -0.014551      0.003562
20030811       0.001018      0.003069
20030812       0.002035      0.009953
20030813       0.024365     -0.006382
20030814      -0.010406      0.006585
20030815      -0.013020      0.000162
20030818       0.031964      0.009155
20030819      -0.000983      0.002611
20030820       0.033957     -0.002045
20030821       0.031890      0.002969
20030822      -0.036900     -0.010177
20030825      -0.000958      0.000655
20030826       0.009108      0.003039
20030827       0.020428      0.000060
20030828       0.033054      0.006069
20030829       0.018927      0.005155
20030902       0.010615      0.013869
20030903       0.004376      0.004188
20030904      -0.005229      0.001656
20030905      -0.014455     -0.006401
20030908       0.010667      0.010035
20030909      -0.016271     -0.008210
20030910      -0.008494     -0.011973
20030911       0.017133      0.005441
20030912       0.023936      0.002174
